Datetime,Water Level (m)
2023-03-19 06:00:00,-0.02727229
2023-03-19 07:00:00,-0.38101256
2023-03-19 08:00:00,-0.6523181
2023-03-19 09:00:00,-0.8818034
2023-03-19 10:00:00,-1.0530201
2023-03-19 11:00:00,-1.0770596
2023-03-19 12:00:00,-0.59300256
2023-03-19 13:00:00,0.026416402
2023-03-19 14:00:00,0.61832255
2023-03-19 15:00:00,0.9808246
2023-03-19 16:00:00,1.0766234
2023-03-19 17:00:00,0.8530149
2023-03-19 18:00:00,0.36794734
2023-03-19 19:00:00,-0.08552444
2023-03-19 20:00:00,-0.3992118
2023-03-19 21:00:00,-0.67518526
2023-03-19 22:00:00,-0.906142
2023-03-19 23:00:00,-1.0713099
2023-03-20 00:00:00,-1.0291545
2023-03-20 01:00:00,-0.4589574
2023-03-20 02:00:00,0.15262617
2023-03-20 03:00:00,0.62921995
2023-03-20 04:00:00,0.8818607
2023-03-20 05:00:00,0.8587691
2023-03-20 06:00:00,0.47742447
2023-03-20 07:00:00,-0.025487684
2023-03-20 08:00:00,-0.40982577
2023-03-20 09:00:00,-0.6929837
2023-03-20 10:00:00,-0.9383927
2023-03-20 11:00:00,-1.1154177
2023-03-20 12:00:00,-1.0908239
2023-03-20 13:00:00,-0.48845348
2023-03-20 14:00:00,0.17623469
2023-03-20 15:00:00,0.76075375
2023-03-20 16:00:00,1.1178447
2023-03-20 17:00:00,1.1854997
2023-03-20 18:00:00,0.87454224
2023-03-20 19:00:00,0.32619664
2023-03-20 20:00:00,-0.14402442
2023-03-20 21:00:00,-0.47917315
2023-03-20 22:00:00,-0.7743406
2023-03-20 23:00:00,-1.0196383
2023-03-21 00:00:00,-1.1825236
2023-03-21 01:00:00,-1.021053
2023-03-21 02:00:00,-0.30273667
2023-03-21 03:00:00,0.40269366
2023-03-21 04:00:00,0.86722153
2023-03-21 05:00:00,1.0514125
2023-03-21 06:00:00,0.86849517
2023-03-21 07:00:00,0.35553744
2023-03-21 08:00:00,-0.13859898
2023-03-21 09:00:00,-0.4787497
2023-03-21 10:00:00,-0.763586
2023-03-21 11:00:00,-1.0017592
2023-03-21 12:00:00,-1.1693599
2023-03-21 13:00:00,-1.0572183
2023-03-21 14:00:00,-0.34240374
2023-03-21 15:00:00,0.3937196
2023-03-21 16:00:00,0.946724
2023-03-21 17:00:00,1.2116297
2023-03-21 18:00:00,1.0915735
2023-03-21 19:00:00,0.5823716
2023-03-21 20:00:00,0.028459698
2023-03-21 21:00:00,-0.36281326
2023-03-21 22:00:00,-0.67069566
2023-03-21 23:00:00,-0.9361214
2023-03-22 00:00:00,-1.1568255
2023-03-22 01:00:00,-1.2416078
2023-03-22 02:00:00,-0.7564948
2023-03-22 03:00:00,-0.06230457
2023-03-22 04:00:00,0.64094454
2023-03-22 05:00:00,1.0350523
2023-03-22 06:00:00,1.1288761
2023-03-22 07:00:00,0.8124659
2023-03-22 08:00:00,0.24448015
2023-03-22 09:00:00,-0.2180767
2023-03-22 10:00:00,-0.53710663
2023-03-22 11:00:00,-0.8131402
2023-03-22 12:00:00,-1.0393379
2023-03-22 13:00:00,-1.1599972
2023-03-22 14:00:00,-0.7938469
2023-03-22 15:00:00,-0.09888308
2023-03-22 16:00:00,0.6062971
2023-03-22 17:00:00,1.0351166
2023-03-22 18:00:00,1.187364
